ref;lat;lon;addr:full;addr:state;addr:ISO3166-2-lvl4;addr:district;addr:municipality;addr:city;addr:road;addr:postcode;fuel:lpg;fuel:diesel;fuel:octane_92;fuel:octane_95;fuel:octane_98;fuel:adblue;toilets;internet_access:wifi;generator;amenity:charging_station;service:coffee;shop;parking;compressed_air;payment:terminal;invincibility_point;amenity:fast_food;name;name:en;name:uk;brand;brand:uk;brand:en;operator;contact:phone;contact:email;contact:website;opening_hours;amenity;brand:wikidata;brand:wikipedia;contact:facebook;contact:instagram;contact:twitter;contact:tiktok;contact:youtube;contact:linkedin
03/055;48.19675;34.962389;"Дніпропетровська обл.; Дніпровський р-н; с. Кам’яне; вул. Вишнева; 2-А";Дніпропетровська область;UA-12;Дніпровський;Солонянська селищна громада;с. Кам’яне;вулиця Вишнева 2-А ;52460;yes;yes;yes;yes;yes;yes;yes;;yes;;;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/056;48.198694;34.963306;"Дніпропетровська обл.; Дніпровський р-н; с. Кам’яне; вул. Вишнева; 1-А";Дніпропетровська область;UA-12;Дніпровський;Солонянська селищна громада;с. Кам’яне;вулиця Вишнева 1-А;52460;;yes;yes;yes;yes;yes;yes;;yes;;;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/057;48.476;34.692889;"Дніпропетровська обл.; м. Кам'янське; Південний р-н; вул. Січеславський шлях; 1-Б";Дніпропетровська область;UA-12;Південний;Кам'янська міська громада;м. Кам'янське;вулиця Січеславський шлях ;51906;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/058;48.532222;34.54225;"Дніпропетровська обл.; м. Кам'янське; Дніпровський р-н; вул. Тритузна; 251-А";Дніпропетровська область;UA-12;Дніпровський;Кам'янська міська громада;м. Кам'янське;вулиця Тритузна 251-А;51918;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/059;48.588583;34.569528;"Дніпропетровська обл.; Дніпровський р-н; с. Єлизаветівка; вул. Лівобережна; 1";Дніпропетровська область;UA-12;Дніпровський;Кам'янська міська громада;с. Єлизаветівка;вулиця Лівобережна 1;51939;yes;yes;yes;yes;yes;;yes;;yes;;;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/060;48.595806;34.546583;"Дніпропетровська обл.; м. Кам'янське; Дніпровський р-н; пр. Наддніпрянський; 29";Дніпропетровська область;UA-12;Дніпровський;Кам'янська міська громада;м. Кам'янське;проспект Наддніпрянський 29;51937;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/061;48.915806;34.925611;"Дніпропетровська обл.; Новомосковський р-н; с-ще Магдалинівка; вул. Центральна; 1-В";Дніпропетровська область;UA-12;Новомосковський;Магдалинівська селищна громада;с-ще Магдалинівка;вулиця Центральна 1-В;51100;yes;yes;yes;yes;yes;;yes;;yes;;;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/062;48.636111;35.246278;"Дніпропетровська обл.; м. Новомосковськ; вул. Сучкова; 41";Дніпропетровська область;UA-12;Новомосковський;Новомосковська міська громада;м. Новомосковськ;вулиця Сучкова 41;51200;;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/063;48.594917;35.163194;"Дніпропетровська обл.; Дніпропетровский р-н; м. Підгородне; вул. Смоленська; 1-А";Дніпропетровська область;UA-12;Дніпровський;Губиниська селищна громада;м. Підгородне;вулиця Смоленська 1-А;51203;;yes;yes;yes;yes;yes;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/064;48.642806;35.260139;"Дніпропетровська обл.; м. Новомосковськ; вул. Гетьманська; 51";Дніпропетровська область;UA-12;Новомосковський;Новомосковська міська громада;м. Новомосковськ;вулиця Гетьманська 51;51200;;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/065;48.502472;35.912611;"Дніпропетровська обл.; м. Павлоград; вул. Дніпровська; 399-А";Дніпропетровська область;UA-12;Павлоградський;Павлоградська міська громада;м. Павлоград;вулиця Дніпровська 399-А;51408;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/066;48.595861;35.526389;"Дніпропетровська обл.; Павлоградський р-н; с. Карабинівка; вул. Дніпровська; 2";Дніпропетровська область;UA-12;Павлоградський;Піщанська сільська громада;с. Карабинівка;вулиця Дніпровська 2;51471;;yes;yes;yes;yes;yes;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/067;48.528889;35.850389;"Дніпропетровська обл.; м. Павлоград; вул. Дніпровська; буд. 73-А";Дніпропетровська область;UA-12;Павлоградський;Павлоградська міська громада;м. Павлоград;вулиця Дніпровська 73-А;51404;;yes;yes;yes;yes;yes;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
03/068;48.358833;36.396639;"Дніпропетровська обл.; Синельниківський р-н; с. Миколаївка; вул. Першотравнева; 1-К";Дніпропетровська область;UA-12;Синельниківський;Миколаївська сільська громада;с. Миколаївка;вулиця Першотравнева 1-К;52800;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
05/003;50.316611;28.683278;"Житомирська обл.; Житомирський р-н.; с.Оліївка; а/ш Бобруйськ-Житомир 355 км";Житомирська область;UA-18;Житомирський;Оліївська сільська громада;с .Оліївка;  ;10032;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
05/004;50.324944;28.379472;"Житомирська обл.; Житомирський р-н; с. Василівська; а/ш Київ-Чоп 162 км";Житомирська область;UA-18;Житомирський;Березівська сільська громада;с. Василівка;  ;12414;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;yes;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
05/005;49.912167;28.5895;"Житомирська обл.; м. Бердичів; вул. Шкіряників; 2";Житомирська область;UA-18;Бердичівський;Бердичівська міська громада;м. Бердичів;вулиця Шкіряників 2;13300;yes;yes;yes;yes;yes;;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
05/006;49.859389;28.615861;"Житомирська обл; м. Бердичів; вул. Елінг; 8";Житомирська область;UA-18;Бердичівський;Бердичівська міська громада;м. Бердичів;вулиця Елінг 8;13302;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/001;48.421083;22.17075;"Закарпатська обл.; Ужгородский р-н; с. Соломоново; вул. Європейська; 17";Закарпатська область;UA-21;Ужгородський;Чопська міська громада;с. Соломоново;вулиця Європейська 17;89460;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;yes;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/002;48.429778;22.174806;"Закарпатська обл.; Ужгородський р-н; с. Соломоново; вул. Європейська; 3";Закарпатська область;UA-21;Ужгородський;Чопська міська громада;с. Соломоново;вулиця Європейська 8;89460;;yes;yes;yes;yes;yes;yes;;yes;;;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/003;48.576028;22.334917;"Закарпатська обл.; Ужгородський р-н; с. Баранинці; вул. Гагаріна; 94";Закарпатська область;UA-21;Ужгородський;Баранинська сільська громада;с. Баранинці;вулиця Гагаріна 94;89425;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;yes;yes;;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/004;48.659528;22.359222;"Закарпатська обл.; Ужгородський р-н; с.Оноківці; вул. Головна; 166";Закарпатська область;UA-21;Ужгородський;Оноківська сільська громада;с. Оноківці;вулиця Головна 166;89412;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/005;48.201306;22.635194;"Закарпатська обл.; м. Берегове; вул. Б. Хмельницького; 83";Закарпатська область;UA-21;Берегівський;Берегівська міська громада;м. Берегове;вулиця Б. Хмельницького 83;90202;;yes;yes;yes;yes;;yes;;yes;;;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/006;48.236083;22.637889;"Закарпатська обл.; м. Берегове; вул. Мукачівська; б/н";Закарпатська область;UA-21;Берегівський;Берегівська міська громада;м. Берегове;вулиця Мукачівська б/н;90202;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;yes;;yes;;yes;yes;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/007;48.157556;23.023917;"Закарпатська обл.; Берегівський р-н; м. Виноградів; вул. І. Франка; б/н";Закарпатська область;UA-21;Берегівський;Виноградівська міська громада;м. Виноградів;вулиця І.Франка б/н;90300;;yes;yes;yes;yes;;yes;yes;yes;;yes;yes;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/008;48.167139;23.048361;"Закарпатська обл.; Берегівський р-н; м. Виноградів; вул. Копанська; б/н";Закарпатська область;UA-21;Берегівський;Виноградівська міська громада;м. Виноградів;вулиця Копанська б/н;90300;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/009;48.004417;23.00125;"Закарпатська обл.; Берегівський р-н.; с. Неветленфолу; вул. Заставська; 10";Закарпатська область;UA-21;Берегівський;Пийтерфолвівська сільська громада;с. Неветленфолу;вулиця Заставська 10;90365;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/011;48.285;22.941889;"Закарпатська обл.; Берегівський р-н; с. Кам""янське; вул. Мукачівська; б/н";Закарпатська область;UA-21;Берегівський;Кам'янська сільська громада;"с. Кам""янське";вулиця Мукачівська б/н;90121;yes;yes;yes;yes;yes;yes;yes;;yes;;;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/012;48.807056;23.080583;"Закарпатська обл.; Мукачівський р-н; с. Тишів; 146";Закарпатська область;UA-21;Мукачівський;Нижньоворітська сільська громада;с. Тишів; 146 ;89112;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/013;48.019944;23.553333;"Закарпатська обл.; Тячівський р-н; м. Тячів; вул. Армійська; 123-А";Закарпатська область;UA-21;Тячівський;Тячівська міська громада;м. Тячів;вулиця Армійська 123-А;90500;yes;yes;yes;yes;yes;yes;yes;;yes;;;yes;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/014;48.21225;23.12825;"Закарпатська обл.; Виноградівський р-н; с. Широке; вул. Шевченка; 115-А";Закарпатська область;UA-21;Берегівський;Виноградівська міська громада;с. Широке;вулиця Шевченка 115А;90314;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/022;48.184417;22.613417;"Закарпатська обл.; Берегівський р-н; с.Дийда; вул. Астейська; буд. 3";Закарпатська область;UA-21;Берегівський;Великобийганська сільська громада;с. Дийда;вулиця Астейська 3;90234;;yes;yes;yes;yes;;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/026;48.517778;22.238333;"Закарпатська обл.; Ужгородський р-н.; с.Сюрте; вул. Ракоці; буд. 187";Закарпатська область;UA-21;Ужгородський;Сюртівська сільська громада;с. Сюрте;вулиця Ракоці 187;89432;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/027;48.5175;22.239278;"Закарпатська обл.; Ужгородський р-н.; с.Сюрте; вул. Ракоці; буд. 198";Закарпатська область;UA-21;Ужгородський;Сюртівська сільська громада;с. Сюрте;вулиця Ракоці 198;89432;yes;yes;yes;yes;yes;yes;yes;;yes;;yes;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/028;48.428611;22.369528;"Закарпатська обл.; Ужгородський р-н.; с.Велика Добронь; вул. Малодобронська; буд. 138";Закарпатська область;UA-21;Ужгородський;Великодобронська сільська громада;с. Велика Добронь;вулиця Малодобронська ;89463;yes;yes;yes;yes;yes;yes;yes;;yes;;;;;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
06/029;48.576639;22.272639;"Закарпатська обл.; Ужгородський р-н.; с.Розівка; вул.Свободи; буд. 46";Закарпатська область;UA-21;Ужгородський;Холмківська сільська громада;с. Розівка;вулиця Свободи 46;89424;;yes;yes;yes;yes;yes;yes;;yes;;;;yes;;;;;Укрнафта;Ukrnafta;Укрнафта;UKRNAFTA;Укрнафта;Ukrnafta;ПАТ Укрнафта;0800404000;hotline@ukrnafta.com;https://ukrnafta.com;24/7;fuel;Q2447961;	uk:Укрнафта;https://www.facebook.com/Ukrnafta;https://www.instagram.com/ukrnafta_azk;https://x.com/Ukrnafta_com;https://www.tiktok.com/@ukrnafta_people;https://www.youtube.com/@Ukrnafta_azk;https://ua.linkedin.com/company/ukrnaftapeople
